,sevius-so/ppt-2/deepseek-r1,sevius-so/ppt-2/gemini-2.0-flash-thinking-exp,sevius-so/ppt-2/llama-4-scout-17b-16e,sevius-fp/ppt-2/deepseek-r1,sevius-fp/ppt-2/gemini-2.0-flash-thinking-exp,sevius-fp/ppt-2/llama-4-scout-17b-16e,upm-gpr/ppt-2/deepseek-r1,upm-gpr/ppt-2/gemini-2.0-flash-thinking-exp,upm-gpr/ppt-2/llama-4-scout-17b-16e,upm-cs/ppt-2/deepseek-r1,upm-cs/ppt-2/gemini-2.0-flash-thinking-exp,upm-cs/ppt-2/llama-4-scout-17b-16e
Activity,3.2,4.2,0.9,2.0,4.3,1.1,3.2,5.9,0.7,1.0,16.4,0.2
Activity.duration,1.5,0.7,1.6,2.4,1.6,1.1,1.7,5.9,1.4,1.0,17.3,1.0
Activity.minGrade,2.8,3.0,1.6,2.0,3.5,1.1,2.7,5.2,1.4,1.8,13.6,1.0
Activity.modality,3.2,3.9,1.6,1.6,5.0,1.1,3.2,5.9,1.4,2.0,18.0,1.0
Activity.name,4.8,4.8,1.6,4.0,6.3,1.1,3.2,5.9,1.4,2.0,18.5,1.0
Activity.relatedCompetencies,1.2,0.0,0.0,0.0,0.0,0.0,13.8,24.5,0.0,3.0,23.7,0.0
Activity.relatedOutcomes,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.8,0.0,1.8,11.3,0.0
Activity.relatedTopics,0.5,1.9,0.0,0.0,0.6,0.0,0.0,2.5,0.0,0.0,6.4,0.0
Activity.weight,4.2,2.4,1.6,2.0,1.9,1.1,3.2,5.9,1.4,2.0,18.0,1.0
Character,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Competence,5.3,7.0,6.2,2.1,2.6,1.1,5.0,5.0,2.4,3.6,4.0,1.5
Competence.code,8.0,8.0,6.2,3.0,3.0,1.1,5.0,5.0,2.4,4.0,4.0,1.8
Competence.description,2.0,1.2,6.2,1.0,0.3,1.1,5.0,5.0,2.4,4.0,4.0,1.8
Evaluation,1.7,2.8,0.9,1.6,2.5,1.1,2.0,2.9,0.5,1.2,3.6,0.2
Evaluation.activities,5.5,3.6,0.0,3.4,6.8,0.1,3.3,5.4,0.2,4.5,13.3,0.0
Evaluation.name,1.5,3.2,1.9,2.8,3.7,1.1,1.2,2.9,1.0,1.7,3.2,1.0
MandatoryCharacter,0.7,0.7,0.0,0.7,0.6,0.0,1.0,1.0,0.0,0.7,1.0,0.3
OptionalCharacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0
Outcome,0.3,0.4,0.1,0.0,3.7,0.8,4.0,4.0,2.9,3.4,4.0,1.1
Outcome.code,0.0,0.1,1.0,,0.5,1.0,4.0,4.0,2.9,3.8,4.0,1.5
Outcome.description,2.0,1.1,1.0,,4.6,1.0,4.0,4.0,2.9,3.8,4.0,1.5
Professor,0.7,1.2,1.0,5.0,6.7,1.7,3.0,3.0,1.3,2.7,3.0,1.1
Professor.email,0.0,0.0,1.0,0.0,0.0,1.5,3.0,3.0,1.3,3.0,3.0,1.2
Professor.hours,0.0,0.0,1.0,0.0,0.0,1.5,1.0,3.0,0.9,0.7,2.2,0.7
Professor.isCoordinator,1.0,1.0,1.0,4.0,5.6,1.7,2.3,2.6,1.1,1.0,2.2,0.7
Professor.name,1.0,1.3,1.0,7.0,7.2,1.7,3.0,3.0,1.4,3.0,3.0,1.2
Professor.office,0.0,0.0,1.0,0.0,0.0,1.5,3.0,3.0,1.3,1.0,1.8,1.0
RecommendedPreviousKnowledge,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.3,0.5,0.0
RecommendedPreviousKnowledge.description,,,,,,1.0,1.0,1.0,,1.0,1.0,
RecommendedPreviousSubject,0.0,0.0,0.0,0.0,0.0,0.1,5.0,5.0,0.0,0.8,1.0,0.0
RecommendedPreviousSubject.description,,,,,,1.0,5.0,5.0,,0.9,1.0,
Resource,0.0,1.0,0.0,3.1,5.2,0.3,7.7,10.0,0.1,1.6,7.3,0.2
Resource.name,,1.7,,7.2,7.0,1.0,7.7,10.0,1.0,2.7,8.0,1.0
School,0.7,1.0,0.3,0.7,1.0,0.1,1.0,1.0,0.4,0.9,1.0,0.7
School.code,0.2,0.2,0.8,0.5,0.4,1.0,1.0,1.0,1.0,0.9,1.0,0.8
School.name,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0
School.university,1.0,0.9,0.6,0.8,0.9,0.0,0.5,0.3,0.0,1.0,0.7,0.0
StudyPlan,0.7,1.0,0.3,0.7,1.0,0.1,1.0,1.0,0.4,0.9,1.0,0.7
StudyPlan.code,0.8,0.9,1.0,0.7,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0
StudyPlan.name,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0
StudyPlan.school,1.0,1.0,0.4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2
Subject,0.7,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0
Subject.character,1.0,0.7,0.0,1.0,0.6,0.1,1.0,1.0,0.2,0.8,1.0,0.0
Subject.code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Subject.competencies,8.0,6.6,0.1,3.0,2.6,0.2,5.0,4.6,0.2,4.0,3.8,0.0
Subject.course,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,1.0
Subject.courseYear,1.0,1.0,1.0,0.8,0.9,1.0,0.7,1.0,1.0,0.3,1.0,1.0
Subject.credits,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Subject.description,0.0,0.8,0.1,0.0,0.8,0.0,0.2,0.9,0.1,0.3,0.6,0.0
Subject.evaluationCriteria,0.0,0.9,1.0,0.5,0.8,1.0,0.5,0.9,0.0,0.2,0.4,0.4
Subject.evaluations,2.5,2.7,0.0,2.3,2.5,0.1,2.2,2.6,0.0,1.8,3.0,0.0
Subject.language,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0
Subject.name,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Subject.outcomes,0.5,0.4,0.1,0.0,3.7,0.1,4.0,3.7,0.2,4.0,3.8,0.0
Subject.period,0.2,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9
Subject.professors,1.0,1.2,0.1,7.0,6.9,0.2,3.0,2.8,0.0,3.0,2.8,0.0
Subject.recommendedPreviousKnowledges,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.0
Subject.recommendedPreviousSubjects,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.0,1.0,1.0,0.0
Subject.resources,0.0,1.0,0.0,4.8,5.4,0.1,7.3,9.2,0.0,1.3,6.4,0.0
Subject.semester,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Subject.studyPlan,1.0,1.0,0.0,1.0,1.0,0.1,1.0,1.0,0.2,1.0,1.0,0.0
Subject.topics,3.0,4.0,0.0,1.3,4.3,0.2,4.5,5.2,0.1,7.1,9.4,0.0
Topic,3.3,7.8,2.2,6.9,9.2,1.2,8.8,12.0,0.3,6.5,21.1,0.3
Topic.name,5.0,9.0,2.9,12.0,10.7,1.6,8.8,12.0,1.0,10.8,23.3,2.0
Topic.subTopics,1.0,4.7,0.0,10.0,8.0,0.0,7.2,10.4,0.0,4.0,16.4,0.0
University,0.7,0.9,0.3,0.6,0.9,0.1,0.5,0.3,0.4,0.9,0.8,0.6
University.name,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.8,1.0,1.0
